Station,On,off,Onboard,Direction,Traincode
Gilroy,0,0,0,N,101
San Martin,0,0,0,N,101
Morgan Hill,0,0,0,N,101
Blossom Hill,0,0,0,N,101
Capitol,0,0,0,N,101
Tamien,0,0,0,N,101
San Jose Diridon,13,0,13,N,101
College Park,0,0,13,N,101
Santa Clara,5,0,18,N,101
Lawrence,3,0,20,N,101
Sunnyvale,11,0,31,N,101
Mountain View,7,0,38,N,101
San Antonio,3,0,41,N,101
California Avenue,3,0,44,N,101
Palo Alto,8,3,49,N,101
Menlo Park,2,2,49,N,101
Atherton,0,0,49,N,101
Redwood City,10,1,58,N,101
San Carlos,4,1,61,N,101
Belmont,2,0,62,N,101
Hillsdale,13,1,75,N,101
Hayward Park,5,0,80,N,101
San Mateo,10,2,88,N,101
Burlingame,8,5,91,N,101
Broadway,0,0,91,N,101
Millbrae,6,16,81,N,101
San Bruno,4,3,82,N,101
South San Francisco,1,2,81,N,101
Bayshore,1,1,82,N,101
22nd Street,0,7,75,N,101
San Francisco,0,75,0,N,101
Gilroy,0,0,0,N,103
San Martin,0,0,0,N,103
Morgan Hill,0,0,0,N,103
Blossom Hill,0,0,0,N,103
Capitol,0,0,0,N,103
Tamien,12,0,12,N,103
San Jose Diridon,26,0,38,N,103
College Park,0,0,38,N,103
Santa Clara,8,1,46,N,103
Lawrence,6,1,51,N,103
Sunnyvale,14,3,62,N,103
Mountain View,8,2,68,N,103
San Antonio,4,1,71,N,103
California Avenue,4,2,72,N,103
Palo Alto,7,27,53,N,103
Menlo Park,5,2,55,N,103
Atherton,0,0,55,N,103
Redwood City,23,5,73,N,103
San Carlos,11,1,83,N,103
Belmont,12,2,93,N,103
Hillsdale,16,1,108,N,103
Hayward Park,6,2,112,N,103
San Mateo,20,1,131,N,103
Burlingame,17,4,144,N,103
Broadway,0,0,144,N,103
Millbrae,7,26,124,N,103
San Bruno,17,4,138,N,103
South San Francisco,7,12,132,N,103
Bayshore,5,4,134,N,103
22nd Street,0,14,120,N,103
San Francisco,0,120,0,N,103
Gilroy,0,0,0,N,305
San Martin,0,0,0,N,305
